city english french longitude latitude
quebec 0.189056603774 0.797075471698 -71.1947126337 46.816667
trois-rivieres 0.163873829473 0.828240512568 -72.6286081624 46.35
montreal 0.239032944673 0.71541210961 -73.8292761456 45.4392168923
edmonton 0.546074628862 0.403263340912 -113.412919159 53.0160126173
banff 0.660079051383 0.339920948617 -115.552269354 51.192536958
fredericton 0.580238262088 0.419761737912 -66.6924925347 45.9065593753
mississauga 0.645740481345 0.354259518655 -79.81968882 43.5796533679
regina 0.686789151356 0.309711286089 -104.617773575 50.4998182583
rimouski 0.207766990291 0.777669902913 -68.5231990105 48.4385120476
saguenay 0.212534905368 0.755507291343 -71.0833517578 48.380083896
shawinigan 0.106730769231 0.570192307692 -72.7968749524 46.5292276603
sherbrooke 0.294026974952 0.695568400771 -71.9430312632 45.4191684695
toronto 0.644289873827 0.355701612491 -79.3265949511 43.7
new-orleans 0.514445955133 0.480761386812 -90.1381140456 29.95
minneapolis-saint-paul 0.6719264639 0.327494728718 -93.2759020459 44.95
chicago 0.591088526066 0.408383399415 -87.9453440539 41.836944
detroit 0.608157668491 0.39098259857 -83.0132781672 42.331389
louisville 0.574298671166 0.425701328834 -85.673442023 38.0139789685
duluth 0.630125928318 0.367290926703 -92.1298528069 46.7036839829
winnipeg 0.67395492198 0.32604507802 -97.037798929 49.8912428861
memphis 0.703267113451 0.296343944471 -90.183454023 35.2126267314
charlotte 0.607985524729 0.391170084439 -80.8952210238 35.0538520277
saint-john 0.645778938207 0.354221061793 -52.6809462046 47.5709789503
vancouver 0.57597439277 0.416494068914 -123.102738108 49.1976867504
victoria 0.604535420429 0.382219546458 -123.318065932 48.4269824883
windsor 0.585877417851 0.412957352598 -83.0132781672 42.2484224906
yellowknife 0.479411764706 0.495588235294 -114.390063159 62.4464458612
ottawa 0.544865023474 0.452083333333 -75.7279323634 45.4308975181
oklahoma-city 0.662417418815 0.337349958128 -97.7554210175 35.4336569314
birmingham 0.67146576207 0.318278636794 -86.9212150448 33.4317219201
kansas-city-lawrence-topeka 0.64629574438 0.353186616681 -95.6734587799 39.036982791
